10 0.00
20 0.00
30 0.00
40 0.00
50 0.00
60 0.00
70 0.00
80 0.00
90 0.00
100 0.00
110 0.00
120 0.00
130 0.00
140 0.00
150 0.00
160 0.00
170 0.00
180 0.00
190 0.00
200 0.00
210 0.00
220 0.00
230 0.00
240 0.00
250 0.00
260 0.00
270 0.00
280 0.01
290 0.01
300 0.00
310 0.01
320 0.01
330 0.01
340 0.01
350 0.01
360 0.01
370 0.01
380 0.01
390 0.01
400 0.01
410 0.01
420 0.01
430 0.01
440 0.01
450 0.02
460 0.01
470 0.01
480 0.02
490 0.02
500 0.02
510 0.02
520 0.02
530 0.02
540 0.02
550 0.02
560 0.02
570 0.02
580 0.02
590 0.02
600 0.03
610 0.02
620 0.03
630 0.02
640 0.02
650 0.03
660 0.02
670 0.03
680 0.03
690 0.03
700 0.03
710 0.03
720 0.03
730 0.03
740 0.03
750 0.04
760 0.03
770 0.04
780 0.04
790 0.03
800 0.04
810 0.04
820 0.04
830 0.04
840 0.04
850 0.04
860 0.04
870 0.05
880 0.04
890 0.05
900 0.04
910 0.05
920 0.05
930 0.05
940 0.05
950 0.05
960 0.05
970 0.05
980 0.05
990 0.06
1000 0.06
