10 0.00
20 0.00
30 0.00
40 0.00
50 0.00
60 0.00
70 0.00
80 0.00
90 0.01
100 0.01
110 0.01
120 0.01
130 0.02
140 0.02
150 0.03
160 0.03
170 0.04
180 0.04
190 0.05
200 0.06
210 0.06
220 0.07
230 0.08
240 0.10
250 0.11
260 0.13
270 0.14
280 0.16
290 0.18
300 0.19
310 0.19
320 0.24
330 0.24
340 0.27
350 0.27
360 0.32
370 0.34
380 0.41
390 0.42
400 0.48
410 0.50
420 0.53
430 0.59
440 0.65
450 0.68
460 0.77
470 0.80
480 0.89
490 0.92
500 0.98
510 1.20
520 1.10
530 1.23
540 1.21
550 1.35
560 1.35
570 1.33
580 1.45
590 1.53
600 1.50
610 1.63
620 1.67
630 1.77
640 1.77
650 1.85
660 2.00
670 2.16
680 2.19
690 2.32
700 2.56
710 2.47
720 2.65
730 2.88
740 3.01
750 2.95
760 3.04
770 3.08
780 3.30
790 3.45
800 3.67
810 3.73
820 3.84
830 4.04
840 4.17
850 4.27
860 4.49
870 4.79
880 4.67
890 4.74
900 4.87
910 5.22
920 5.44
930 5.42
940 6.04
950 5.78
960 6.23
970 6.34
980 6.39
990 6.37
1000 6.90
