10 39070
20 301475
30 1353520
40 3238385
50 6339950
60 13362235
70 21575760
80 32539385
90 46643110
100 64276935
110 85830860
120 111694885
130 142259010
140 177913235
150 253471356
160 310240841
170 374713826
180 447370311
190 528690296
200 619153781
210 719240766
220 829431251
230 950205236
240 1082042721
250 1225423706
260 1380828191
270 1548736176
280 1729627661
290 1923982646
300 2132281131
310 2355003116
320 2592628601
330 2845637586
340 3114510071
350 3399726056
360 3701765541
370 4021108526
380 4358235011
390 4713624996
400 5087758481
410 6183696302
420 6666262247
430 7172795092
440 7703864837
450 8260041482
460 8841895027
470 9449995472
480 10084912817
490 10747217062
500 11437478207
510 12156266252
