100 0.00
200 0.00
300 0.00
400 0.00
500 0.01
600 0.00
700 0.01
800 0.01
900 0.01
1000 0.01
1100 0.02
1200 0.02
1300 0.03
1400 0.03
1500 0.03
1600 0.03
1700 0.04
1800 0.04
1900 0.05
2000 0.05
2100 0.06
2200 0.06
2300 0.07
2400 0.07
2500 0.08
2600 0.08
2700 0.08
2800 0.09
2900 0.10
3000 0.10
3100 0.09
3200 0.11
3300 0.11
3400 0.13
3500 0.13
3600 0.12
3700 0.13
3800 0.13
3900 0.14
4000 0.15
4100 0.15
4200 0.17
4300 0.17
4400 0.18
4500 0.19
4600 0.20
4700 0.19
4800 0.19
4900 0.21
5000 0.21
5100 0.24
5200 0.24
5300 0.24
5400 0.25
5500 0.28
5600 0.27
5700 0.27
5800 0.29
5900 0.29
6000 0.29
