10 6240
20 20655
30 49100
40 94490
50 154415
60 228218
70 329701
80 415708
90 528803
100 707973
110 856683
120 1056057
130 1280440
140 1579538
150 1867603
160 2177838
170 2523513
180 2840603
190 3350640
200 4008738
210 4388073
220 4945102
230 6170767
240 6333165
250 7139863
260 7374721
270 7993136
280 8760996
290 9584388
300 9803377
310 10684012
320 11414472
330 12132187
340 13650375
350 13629205
360 14705428
370 14913956
380 16682832
390 18233916
400 19159669
410 20137344
420 20734861
430 22129235
440 23156790
450 23707367
460 25262426
470 27876590
480 29610156
490 29243273
500 32186701
510 33509232
520 36042449
530 37464659
540 38275770
550 39073482
560 41206675
570 45534709
580 47890647
590 46399518
600 53611334
610 56229375
620 53911804
630 59130794
640 58959253
650 62952200
660 64747355
670 70752217
680 75847290
690 76042584
700 76910291
710 80504475
720 78023850
730 88523112
740 83954550
750 82373192
760 85989606
770 89525241
780 90566368
790 96797504
800 104872946
810 106110779
820 110162551
830 115784077
840 115580596
850 118331342
860 122603846
870 128646836
880 131607096
890 129582958
900 129171082
910 139044469
920 132949111
930 145197644
940 152043853
950 153379696
960 160373354
970 159506657
980 167169862
990 180867207
1000 192570837
