10 5500
60 28895
110 143802
160 275648
210 571016
260 380214
310 2718793
360 6157394
410 857611
460 1119377
510 1286993
560 1525203
610 2677577
660 3095199
710 2441677
760 4183076
810 3127949
860 64904116
910 6028436
960 11374267
1010 4710270
1060 139256019
1110 5750964
1160 9214662
1210 14181291
1260 7233595
1310 7782011
1360 12546938
1410 8989038
1460 13995425
1510 10326876
1560 10882831
1610 11647557
1660 12153567
1710 12904155
1760 13631869
1810 562845076
1860 15216557
1910 15899585
1960 16870855
2010 17773534
2060 18433359
2110 79261221
2160 20523861
2210 1088236446
2260 22029791
2310 23194905
2360 24173949
2410 24880557
2460 25948838
2510 27215103
2560 28026646
2610 30039196
2660 169764553
2710 31547907
2760 32686105
2810 174151838
2860 34675172
2910 36037923
2960 37319685
3010 38650751
3060 2502036594
3110 41182651
3160 257997747
3210 44238959
3260 45191725
3310 95505450
3360 47715620
3410 49110469
3460 51994838
3510 52321595
3560 53497336
3610 56416833
3660 56756669
3710 294961774
3760 59660864
3810 61061376
3860 63043508
3910 64643722
3960 65999949
4010 67899635
4060 69290602
4110 71233780
4160 73097961
4210 6537477912
4260 659572892
4310 78149185
4360 79761326
4410 83032750
